URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/ch-idmp-documentreference","DICOM"
http://hl7.org/fhir/ValueSet/substance-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.3023",SNOMEDCTSubstanceCodes,SNOMED CT Substance Codes,"This value set includes all substance codes from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-ingredient,StructureDefinition/ch-idmp-manufactureditemdefinition,StructureDefinition/ch-idmp-administrableproductdefinition","SCT"
http://hl7.org/fhir/ValueSet/target-species,5.0.0,draft,"2.16.840.1.113883.4.642.3.3166",TargetSpecies,Target Species,"A species for which a medicinal product is intended.","StructureDefinition/ch-idmp-administrableproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/therapy,5.0.0,draft,"2.16.840.1.113883.4.642.3.3112",Therapy,Therapy,"A therapy.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/therapy-relationship-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3113",TherapyRelationshipType,Therapy Relationship Type,"Classification of relationship between a therapy and a contraindication or an indication.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/undesirable-effect-classification,5.0.0,draft,"2.16.840.1.113883.4.642.3.3116",UndesirableEffectClassification,Undesirable Effect Classification,"A categorisation for an undesirable effect.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/undesirable-effect-frequency,5.0.0,draft,"2.16.840.1.113883.4.642.3.3118",UndesirablEffectFrequency,Undesirabl Effect Frequency,"A categorisation for a frequency of occurence of an undesirable effect.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/undesirable-effect-symptom,5.0.0,draft,"2.16.840.1.113883.4.642.3.3106",UndesirableEffectSymptom,Undesirable Effect Symptom,"An undesirable effect of clinical use.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/unit-of-presentation,5.0.0,draft,"2.16.840.1.113883.4.642.3.3168",UnitOfPresentation,Unit Of Presentation,"The presentation type in which an administrable medicinal product is given to a patient.","StructureDefinition/ch-idmp-administrableproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/warning-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3104",WarningType,Warning Type,"Classification of warning type.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/ch-idmp-documentreference","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-HL7FormatCodes,2.1.0,active,"2.16.840.1.113883.11.19752",HL7FormatCodes,HL7 ValueSet of Format Codes for use with Document Sharing,"The HL7-FormatCodes value set is defined to be the set of FormatCode(s) defined by implementation guides published by HL7 and other SDOs. The use of a formatCode from the FormatCodes value set specifies the technical format that a document conforms to. The formatCode is a further specialization more detailed than the mime-type. The formatCode provides sufficient information to allow any potential document content consumer to know if it can process and/or display the content of the document based on the document encoding, structure and template conformance indicated by the formatCode. The set of formatCodes is intended to be extensible. The Content Logical Description is defined intentionally to permit formatCodes defined by other Standards Development Organizations to be added by inclusion of additional formatCode Code Systems.","StructureDefinition/ch-idmp-documentreference","THO (V3),Other"
